sessionId,raceId,sessionDate,sessionTime,sessionType
1,1053,2021-04-16,\N,FP1
2,1074,2022-03-18,12:00:00,FP1
3,1052,2021-03-26,\N,FP1
4,1051,2021-11-19,\N,FP1
5,1054,2021-04-30,\N,FP1
6,1055,2021-05-07,\N,FP1
7,1056,2021-05-21,\N,FP1
8,1057,2021-06-04,\N,FP1
9,1058,2021-06-25,\N,FP1
10,1059,2021-06-18,\N,FP1
11,1060,2021-07-02,\N,FP1
12,1061,2021-07-16,\N,FP1
13,1062,2021-07-30,\N,FP1
14,1063,2021-08-27,\N,FP1
15,1064,2021-09-03,\N,FP1
16,1065,2021-09-10,\N,FP1
17,1066,2021-09-24,\N,FP1
18,1067,2021-10-08,\N,FP1
19,1069,2021-10-22,\N,FP1
20,1070,2021-11-05,\N,FP1
21,1071,2021-11-12,\N,FP1
22,1072,2021-12-03,\N,FP1
23,1073,2021-12-10,\N,FP1
24,1075,2022-03-25,14:00:00,FP1
25,1076,2022-04-08,03:00:00,FP1
26,1077,2022-04-22,11:30:00,FP1
27,1078,2022-05-06,18:30:00,FP1
28,1079,2022-05-20,12:00:00,FP1
29,1080,2022-05-27,12:00:00,FP1
30,1081,2022-06-10,11:00:00,FP1
31,1082,2022-06-17,18:00:00,FP1
32,1083,2022-07-01,12:00:00,FP1
33,1084,2022-07-08,11:30:00,FP1
34,1085,2022-07-22,12:00:00,FP1
35,1086,2022-07-29,12:00:00,FP1
36,1087,2022-08-26,12:00:00,FP1
37,1088,2022-09-02,10:30:00,FP1
38,1089,2022-09-09,12:00:00,FP1
39,1091,2022-09-30,10:00:00,FP1
40,1092,2022-10-07,03:00:00,FP1
41,1093,2022-10-21,19:00:00,FP1
42,1094,2022-10-28,18:00:00,FP1
43,1095,2022-11-11,15:30:00,FP1
44,1096,2022-11-18,10:00:00,FP1
45,1098,2023-03-03,11:30:00,FP1
46,1099,2023-03-17,13:30:00,FP1
47,1100,2023-03-31,01:30:00,FP1
48,1101,2023-04-28,09:30:00,FP1
49,1102,2023-05-05,18:00:00,FP1
50,1104,2023-05-26,11:30:00,FP1
51,1105,2023-06-02,11:30:00,FP1
52,1106,2023-06-16,17:30:00,FP1
53,1107,2023-06-30,11:30:00,FP1
54,1108,2023-07-07,11:30:00,FP1
55,1109,2023-07-21,11:30:00,FP1
56,1110,2023-07-28,11:30:00,FP1
57,1111,2023-08-25,10:30:00,FP1
58,1112,2023-09-01,11:30:00,FP1
59,1113,2023-09-15,09:30:00,FP1
60,1114,2023-09-22,02:30:00,FP1
61,1115,2023-10-06,13:30:00,FP1
62,1116,2023-10-20,17:30:00,FP1
63,1117,2023-10-27,18:30:00,FP1
64,1118,2023-11-03,14:30:00,FP1
65,1119,2023-11-16,04:30:00,FP1
66,1120,2023-11-24,09:30:00,FP1
67,1121,2024-02-29,11:30:00,FP1
68,1122,2024-03-07,13:30:00,FP1
69,1123,2024-03-22,01:30:00,FP1
70,1124,2024-04-05,02:30:00,FP1
71,1125,2024-04-19,03:30:00,FP1
72,1126,2024-05-03,16:30:00,FP1
73,1127,2024-05-17,11:30:00,FP1
74,1128,2024-05-24,11:30:00,FP1
75,1129,2024-06-07,17:30:00,FP1
76,1130,2024-06-21,11:30:00,FP1
77,1131,2024-06-28,10:30:00,FP1
78,1132,2024-07-05,11:30:00,FP1
79,1133,2024-07-19,11:30:00,FP1
80,1134,2024-07-26,11:30:00,FP1
81,1135,2024-08-23,10:30:00,FP1
82,1136,2024-08-30,11:30:00,FP1
83,1137,2024-09-13,09:30:00,FP1
84,1138,2024-09-20,09:30:00,FP1
85,1139,2024-10-18,17:30:00,FP1
86,1140,2024-10-25,18:30:00,FP1
87,1141,2024-11-01,14:30:00,FP1
88,1142,2024-11-21,02:30:00,FP1
89,1143,2024-11-29,13:30:00,FP1
90,1144,2024-12-06,09:30:00,FP1
91,1053,2021-04-16,\N,FP2
92,1074,2022-03-18,15:00:00,FP2
93,1052,2021-03-26,\N,FP2
94,1051,2021-11-19,\N,FP2
95,1054,2021-04-30,\N,FP2
96,1055,2021-05-07,\N,FP2
97,1056,2021-05-21,\N,FP2
98,1057,2021-06-04,\N,FP2
99,1058,2021-06-25,\N,FP2
100,1059,2021-06-18,\N,FP2
101,1060,2021-07-02,\N,FP2
102,1061,2021-07-17,\N,FP2
103,1062,2021-07-30,\N,FP2
104,1063,2021-08-27,\N,FP2
105,1064,2021-09-03,\N,FP2
106,1065,2021-09-11,\N,FP2
107,1066,2021-09-24,\N,FP2
108,1067,2021-10-08,\N,FP2
109,1069,2021-10-22,\N,FP2
110,1070,2021-11-05,\N,FP2
111,1071,2021-11-13,\N,FP2
112,1072,2021-12-03,\N,FP2
113,1073,2021-12-10,\N,FP2
114,1075,2022-03-25,17:00:00,FP2
115,1076,2022-04-08,06:00:00,FP2
116,1077,2022-04-23,10:30:00,FP2
117,1078,2022-05-06,21:30:00,FP2
118,1079,2022-05-20,15:00:00,FP2
119,1080,2022-05-27,15:00:00,FP2
120,1081,2022-06-10,14:00:00,FP2
121,1082,2022-06-17,21:00:00,FP2
122,1083,2022-07-01,15:00:00,FP2
123,1084,2022-07-09,10:30:00,FP2
124,1085,2022-07-22,15:00:00,FP2
125,1086,2022-07-29,15:00:00,FP2
126,1087,2022-08-26,15:00:00,FP2
127,1088,2022-09-02,14:00:00,FP2
128,1089,2022-09-09,15:00:00,FP2
129,1091,2022-09-30,13:00:00,FP2
130,1092,2022-10-07,06:00:00,FP2
131,1093,2022-10-21,22:00:00,FP2
132,1094,2022-10-28,21:00:00,FP2
133,1095,2022-11-12,15:30:00,FP2
134,1096,2022-11-18,13:00:00,FP2
135,1098,2023-03-03,15:00:00,FP2
136,1099,2023-03-17,17:00:00,FP2
137,1100,2023-03-31,05:00:00,FP2
138,1101,2023-04-29,09:30:00,FP2
139,1102,2023-05-05,21:30:00,FP2
140,1104,2023-05-26,15:00:00,FP2
141,1105,2023-06-02,15:00:00,FP2
142,1106,2023-06-16,21:00:00,FP2
143,1107,2023-07-01,10:30:00,FP2
144,1108,2023-07-07,15:00:00,FP2
145,1109,2023-07-21,15:00:00,FP2
146,1110,2023-07-29,10:30:00,FP2
147,1111,2023-08-25,14:00:00,FP2
148,1112,2023-09-01,15:00:00,FP2
149,1113,2023-09-15,13:00:00,FP2
150,1114,2023-09-22,06:00:00,FP2
151,1115,2023-10-07,13:00:00,FP2
152,1116,2023-10-21,18:00:00,FP2
153,1117,2023-10-27,22:00:00,FP2
154,1118,2023-11-04,14:30:00,FP2
155,1119,2023-11-16,08:00:00,FP2
156,1120,2023-11-24,13:00:00,FP2
157,1121,2024-02-29,15:00:00,FP2
158,1122,2024-03-07,17:00:00,FP2
159,1123,2024-03-22,05:00:00,FP2
160,1124,2024-04-05,06:00:00,FP2
161,1125,2024-04-19,07:30:00,FP2
162,1126,2024-05-03,20:30:00,FP2
163,1127,2024-05-17,15:00:00,FP2
164,1128,2024-05-24,15:00:00,FP2
165,1129,2024-06-07,21:00:00,FP2
166,1130,2024-06-21,15:00:00,FP2
167,1131,2024-06-28,14:30:00,FP2
168,1132,2024-07-05,15:00:00,FP2
169,1133,2024-07-19,15:00:00,FP2
170,1134,2024-07-26,15:00:00,FP2
171,1135,2024-08-23,14:00:00,FP2
172,1136,2024-08-30,15:00:00,FP2
173,1137,2024-09-13,13:00:00,FP2
174,1138,2024-09-20,13:00:00,FP2
175,1139,2024-10-18,21:30:00,FP2
176,1140,2024-10-25,22:00:00,FP2
177,1141,2024-11-01,18:30:00,FP2
178,1142,2024-11-21,06:00:00,FP2
179,1143,2024-11-29,17:30:00,FP2
180,1144,2024-12-06,13:00:00,FP2
181,1053,2021-04-17,\N,FP3
182,1074,2022-03-19,12:00:00,FP3
183,1052,2021-03-27,\N,FP3
184,1051,2021-11-20,\N,FP3
185,1054,2021-05-01,\N,FP3
186,1055,2021-05-08,\N,FP3
187,1056,2021-05-22,\N,FP3
188,1057,2021-06-05,\N,FP3
189,1058,2021-06-26,\N,FP3
190,1059,2021-06-19,\N,FP3
191,1060,2021-07-03,\N,FP3
192,1062,2021-07-31,\N,FP3
193,1063,2021-08-28,\N,FP3
194,1064,2021-09-04,\N,FP3
195,1066,2021-09-25,\N,FP3
196,1067,2021-10-09,\N,FP3
197,1069,2021-10-23,\N,FP3
198,1070,2021-11-06,\N,FP3
199,1072,2021-12-04,\N,FP3
200,1073,2021-12-11,\N,FP3
201,1075,2022-03-26,14:00:00,FP3
202,1076,2022-04-09,03:00:00,FP3
203,1078,2022-05-07,17:00:00,FP3
204,1079,2022-05-21,11:00:00,FP3
205,1080,2022-05-28,11:00:00,FP3
206,1081,2022-06-11,11:00:00,FP3
207,1082,2022-06-18,17:00:00,FP3
208,1083,2022-07-02,11:00:00,FP3
209,1085,2022-07-23,11:00:00,FP3
210,1086,2022-07-30,11:00:00,FP3
211,1087,2022-08-27,11:00:00,FP3
212,1088,2022-09-03,10:00:00,FP3
213,1089,2022-09-10,11:00:00,FP3
214,1091,2022-10-01,10:00:00,FP3
215,1092,2022-10-08,03:00:00,FP3
216,1093,2022-10-22,19:00:00,FP3
217,1094,2022-10-29,17:00:00,FP3
218,1096,2022-11-19,11:00:00,FP3
219,1098,2023-03-04,11:30:00,FP3
220,1099,2023-03-18,13:30:00,FP3
221,1100,2023-04-01,01:30:00,FP3
222,1102,2023-05-06,16:30:00,FP3
223,1104,2023-05-27,10:30:00,FP3
224,1105,2023-06-03,10:30:00,FP3
225,1106,2023-06-17,16:30:00,FP3
226,1108,2023-07-08,10:30:00,FP3
227,1109,2023-07-22,10:30:00,FP3
228,1111,2023-08-26,09:30:00,FP3
229,1112,2023-09-02,10:30:00,FP3
230,1113,2023-09-16,09:30:00,FP3
231,1114,2023-09-23,02:30:00,FP3
232,1117,2023-10-28,17:30:00,FP3
233,1119,2023-11-17,04:30:00,FP3
234,1120,2023-11-25,10:30:00,FP3
235,1121,2024-03-01,12:30:00,FP3
236,1122,2024-03-08,13:30:00,FP3
237,1123,2024-03-23,01:30:00,FP3
238,1124,2024-04-06,02:30:00,FP3
239,1127,2024-05-18,10:30:00,FP3
240,1128,2024-05-25,10:30:00,FP3
241,1129,2024-06-08,16:30:00,FP3
242,1130,2024-06-22,10:30:00,FP3
243,1132,2024-07-06,10:30:00,FP3
244,1133,2024-07-20,10:30:00,FP3
245,1134,2024-07-27,10:30:00,FP3
246,1135,2024-08-24,09:30:00,FP3
247,1136,2024-08-31,10:30:00,FP3
248,1137,2024-09-14,08:30:00,FP3
249,1138,2024-09-21,09:30:00,FP3
250,1140,2024-10-26,17:30:00,FP3
251,1142,2024-11-22,02:30:00,FP3
252,1144,2024-12-07,10:30:00,FP3
253,1053,2021-04-17,\N,Qualifying
254,1074,2022-03-19,15:00:00,Qualifying
255,1052,2021-03-27,\N,Qualifying
256,1051,2021-11-20,\N,Qualifying
257,1054,2021-05-01,\N,Qualifying
258,1055,2021-05-08,\N,Qualifying
259,1056,2021-05-22,\N,Qualifying
260,1057,2021-06-05,\N,Qualifying
261,1058,2021-06-26,\N,Qualifying
262,1059,2021-06-19,\N,Qualifying
263,1060,2021-07-03,\N,Qualifying
264,1061,2021-07-16,\N,Qualifying
265,1062,2021-07-31,\N,Qualifying
266,1063,2021-08-28,\N,Qualifying
267,1064,2021-09-04,\N,Qualifying
268,1065,2021-09-10,\N,Qualifying
269,1066,2021-09-25,\N,Qualifying
270,1067,2021-10-09,\N,Qualifying
271,1069,2021-10-23,\N,Qualifying
272,1070,2021-11-06,\N,Qualifying
273,1071,2021-11-12,\N,Qualifying
274,1072,2021-12-04,\N,Qualifying
275,1073,2021-12-11,\N,Qualifying
276,1075,2022-03-26,17:00:00,Qualifying
277,1076,2022-04-09,06:00:00,Qualifying
278,1077,2022-04-22,15:00:00,Qualifying
279,1078,2022-05-07,20:00:00,Qualifying
280,1079,2022-05-21,14:00:00,Qualifying
281,1080,2022-05-28,14:00:00,Qualifying
282,1081,2022-06-11,14:00:00,Qualifying
283,1082,2022-06-18,20:00:00,Qualifying
284,1083,2022-07-02,14:00:00,Qualifying
285,1084,2022-07-08,15:00:00,Qualifying
286,1085,2022-07-23,14:00:00,Qualifying
287,1086,2022-07-30,14:00:00,Qualifying
288,1087,2022-08-27,14:00:00,Qualifying
289,1088,2022-09-03,13:00:00,Qualifying
290,1089,2022-09-10,14:00:00,Qualifying
291,1091,2022-10-01,13:00:00,Qualifying
292,1092,2022-10-08,06:00:00,Qualifying
293,1093,2022-10-22,22:00:00,Qualifying
294,1094,2022-10-29,20:00:00,Qualifying
295,1095,2022-11-11,19:00:00,Qualifying
296,1096,2022-11-19,14:00:00,Qualifying
297,1098,2023-03-04,15:00:00,Qualifying
298,1099,2023-03-18,17:00:00,Qualifying
299,1100,2023-04-01,05:00:00,Qualifying
300,1101,2023-04-28,13:00:00,Qualifying
301,1102,2023-05-06,20:00:00,Qualifying
302,1104,2023-05-27,14:00:00,Qualifying
303,1105,2023-06-03,14:00:00,Qualifying
304,1106,2023-06-17,20:00:00,Qualifying
305,1107,2023-06-30,15:00:00,Qualifying
306,1108,2023-07-08,14:00:00,Qualifying
307,1109,2023-07-22,14:00:00,Qualifying
308,1110,2023-07-28,15:00:00,Qualifying
309,1111,2023-08-26,13:00:00,Qualifying
310,1112,2023-09-02,14:00:00,Qualifying
311,1113,2023-09-16,13:00:00,Qualifying
312,1114,2023-09-23,06:00:00,Qualifying
313,1115,2023-10-06,17:00:00,Qualifying
314,1116,2023-10-20,21:00:00,Qualifying
315,1117,2023-10-28,21:00:00,Qualifying
316,1118,2023-11-03,18:00:00,Qualifying
317,1119,2023-11-17,08:00:00,Qualifying
318,1120,2023-11-25,14:00:00,Qualifying
319,1121,2024-03-01,16:00:00,Qualifying
320,1122,2024-03-08,17:00:00,Qualifying
321,1123,2024-03-23,05:00:00,Qualifying
322,1124,2024-04-06,06:00:00,Qualifying
323,1125,2024-04-20,07:00:00,Qualifying
324,1126,2024-05-04,20:00:00,Qualifying
325,1127,2024-05-18,14:00:00,Qualifying
326,1128,2024-05-25,14:00:00,Qualifying
327,1129,2024-06-08,20:00:00,Qualifying
328,1130,2024-06-22,14:00:00,Qualifying
329,1131,2024-06-29,14:00:00,Qualifying
330,1132,2024-07-06,14:00:00,Qualifying
331,1133,2024-07-20,14:00:00,Qualifying
332,1134,2024-07-27,14:00:00,Qualifying
333,1135,2024-08-24,13:00:00,Qualifying
334,1136,2024-08-31,14:00:00,Qualifying
335,1137,2024-09-14,12:00:00,Qualifying
336,1138,2024-09-21,13:00:00,Qualifying
337,1139,2024-10-19,22:00:00,Qualifying
338,1140,2024-10-26,21:00:00,Qualifying
339,1141,2024-11-02,18:00:00,Qualifying
340,1142,2024-11-22,06:00:00,Qualifying
341,1143,2024-11-30,17:00:00,Qualifying
342,1144,2024-12-07,14:00:00,Qualifying
343,1061,2021-07-17,\N,Sprint
344,1065,2021-09-11,\N,Sprint
345,1071,2021-11-13,\N,Sprint
346,1077,2022-04-23,14:30:00,Sprint
347,1084,2022-07-09,14:30:00,Sprint
348,1095,2022-11-12,19:30:00,Sprint
349,1101,2023-04-29,13:30:00,Sprint
350,1107,2023-07-01,14:30:00,Sprint
351,1110,2023-07-29,14:30:00,Sprint
352,1115,2023-10-07,17:30:00,Sprint
353,1116,2023-10-21,22:00:00,Sprint
354,1118,2023-11-04,18:30:00,Sprint
355,1125,2024-04-20,03:00:00,Sprint
356,1126,2024-05-04,16:00:00,Sprint
357,1131,2024-06-29,10:00:00,Sprint
358,1139,2024-10-19,18:00:00,Sprint
359,1141,2024-11-02,14:00:00,Sprint
360,1143,2024-11-30,13:00:00,Sprint
