circuitId,name,location,url
1,Albert Park Grand Prix Circuit,Melbourne,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,Sepang International Circuit,Kuala Lumpur,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,Bahrain International Circuit,Sakhir,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,Circuit de Barcelona-Catalunya,Montmeló,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,Istanbul Park,Istanbul,http://en.wikipedia.org/wiki/Istanbul_Park
6,Circuit de Monaco,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,Circuit Gilles Villeneuve,Montreal,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,Circuit de Nevers Magny-Cours,Magny Cours,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,Silverstone Circuit,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,Hockenheimring,Hockenheim,http://en.wikipedia.org/wiki/Hockenheimring
11,Hungaroring,Budapest,http://en.wikipedia.org/wiki/Hungaroring
12,Valencia Street Circuit,Valencia,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13,Circuit de Spa-Francorchamps,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,Autodromo Nazionale di Monza,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,Marina Bay Street Circuit,Marina Bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,Fuji Speedway,Oyama,http://en.wikipedia.org/wiki/Fuji_Speedway
17,Shanghai International Circuit,Shanghai,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,Autódromo José Carlos Pace,São Paulo,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,Indianapolis Motor Speedway,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20,Nürburgring,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,Autodromo Enzo e Dino Ferrari,Imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,Suzuka Circuit,Suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit
80,Las Vegas Strip Street Circuit,Las Vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
24,Yas Marina Circuit,Abu Dhabi,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25,Autódromo Juan y Oscar Gálvez,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
26,Circuito de Jerez,Jerez de la Frontera,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
27,Autódromo do Estoril,Estoril,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
28,Okayama International Circuit,Okayama,http://en.wikipedia.org/wiki/TI_Circuit
29,Adelaide Street Circuit,Adelaide,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
30,Kyalami,Midrand,http://en.wikipedia.org/wiki/Kyalami
31,Donington Park,Castle Donington,http://en.wikipedia.org/wiki/Donington_Park
32,Autódromo Hermanos Rodríguez,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33,Phoenix street circuit,Phoenix,http://en.wikipedia.org/wiki/Phoenix_street_circuit
34,Circuit Paul Ricard,Le Castellet,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,Korean International Circuit,Yeongam County,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37,Detroit Street Circuit,Detroit,http://en.wikipedia.org/wiki/Detroit_street_circuit
38,Brands Hatch,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
39,Circuit Park Zandvoort,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,Zolder,Heusden-Zolder,http://en.wikipedia.org/wiki/Zolder
41,Dijon-Prenois,Dijon,http://en.wikipedia.org/wiki/Dijon-Prenois
42,Fair Park,Dallas,http://en.wikipedia.org/wiki/Fair_Park
43,Long Beach,California,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,Las Vegas Street Circuit,Nevada,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit
45,Jarama,Madrid,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46,Watkins Glen,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
47,Scandinavian Raceway,Anderstorp,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,Mosport International Raceway,Ontario,http://en.wikipedia.org/wiki/Mosport
49,Montjuïc,Barcelona,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,Nivelles-Baulers,Brussels,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,Charade Circuit,Clermont-Ferrand,http://en.wikipedia.org/wiki/Charade_Circuit
52,Circuit Mont-Tremblant,Quebec,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53,Rouen-Les-Essarts,Rouen,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,Le Mans,Le Mans,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,Reims-Gueux,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
56,Prince George Circuit,Eastern Cape Province,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,Zeltweg,Styria,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,Aintree,Liverpool,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,Circuito da Boavista,Oporto,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,Riverside International Raceway,California,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,AVUS,Berlin,http://en.wikipedia.org/wiki/AVUS
62,Monsanto Park Circuit,Lisbon,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,Sebring International Raceway,Florida,http://en.wikipedia.org/wiki/Sebring_Raceway
64,Ain Diab,Casablanca,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,Pescara Circuit,Pescara,http://en.wikipedia.org/wiki/Pescara_Circuit
66,Circuit Bremgarten,Bern,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,Circuit de Pedralbes,Barcelona,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,Buddh International Circuit,Uttar Pradesh,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,Circuit of the Americas,Austin,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,Red Bull Ring,Spielberg,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,Sochi Autodrom,Sochi,http://en.wikipedia.org/wiki/Sochi_Autodrom
73,Baku City Circuit,Baku,http://en.wikipedia.org/wiki/Baku_City_Circuit
75,Autódromo Internacional do Algarve,Portimão,http://en.wikipedia.org/wiki/Algarve_International_Circuit
76,Autodromo Internazionale del Mugello,Mugello,http://en.wikipedia.org/wiki/Mugello_Circuit
77,Jeddah Corniche Circuit,Jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
78,Losail International Circuit,Al Daayen,http://en.wikipedia.org/wiki/Losail_International_Circuit
79,Miami International Autodrome,Miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome
